Word,popularity
droll,0.609427437
gawky,0.521810376
hutch,0.539623556
pinto,0.537780308
egret,0.524917018
lilac,0.720952799
sever,0.793742018
field,1
fluff,0.579104727
agape,0.580702132
voice,1
stead,0.928954304
berth,0.854139782
madam,0.900528596
night,1
bland,0.771929176
liver,1
wedge,0.98561719
roomy,0.623630319
wacky,0.535420898
flock,0.997626255
angry,0.999999926
trite,0.655016988
aphid,0.696153269
tryst,0.547051133
midge,0.562743518
power,1
elope,0.535830748
cinch,0.552248717
motto,0.947523699
stomp,0.550626218
upset,0.999884163
bluff,0.893150284
cramp,0.632311637
quart,0.929041185
coyly,0.543620036
youth,1
rhyme,0.933956459
buggy,0.784462727
alien,0.999986834
smear,0.817291766
unfit,0.983263049
patty,0.537598966
cling,0.916061746
glean,0.625826425
label,0.999999239
hunky,0.516489298
khaki,0.67856632
poker,0.819575739
gruel,0.602054763
twice,1
twang,0.556174437
shrug,0.807208521
treat,1
waste,1
merit,0.999999976
woven,0.993971465
needy,0.969046386
clown,0.78716871
irony,0.988077885
ruder,0.555397652
gauze,0.891918912
chief,1
onset,0.999963484
prize,0.999994908
fungi,0.991665599
charm,0.999817413
gully,0.710625176
inter,0.99999995
whoop,0.591372165
taunt,0.630510115
leery,0.53698376
class,1
theme,0.999999998
lofty,0.996500037
tibia,0.883403038
booze,0.653003779
alpha,0.997244369
thyme,0.702303048
doubt,1
parer,0.504602723
chute,0.817470518
stick,0.99999978
trice,0.541921823
alike,0.999999924
recap,0.554303203
saint,0.994797402
glory,0.999999999
grate,0.895576824
admit,1
brisk,0.907347365
soggy,0.604829924
usurp,0.657061047
scald,0.583955577
scorn,0.973942978
leave,1
twine,0.791554338
sting,0.910790237
bough,0.671348354
marsh,0.970779525
sloth,0.647725712
dandy,0.641466958
vigor,0.985975596
howdy,0.509347193
enjoy,1
valid,1
ionic,0.980722135
equal,1
floor,1
catch,1
spade,0.804671214
stein,0.540294212
exist,1
quirk,0.555258886
denim,0.628454461
grove,0.942002699
spiel,0.527318398
mummy,0.688497542
fault,1
foggy,0.679603047
flout,0.551960747
carry,1
sneak,0.792209283
libel,0.966741731
waltz,0.674978608
aptly,0.860615519
piney,0.515232249
inept,0.653990266
aloud,0.997819696
photo,0.999989222
dream,1
stale,0.887322936
begin,1
spell,0.999484981
rainy,0.97134838
unite,0.99867845
medal,0.980011098
valet,0.737184808
inane,0.571403467
maple,0.956937593
snarl,0.615871378
baker,0.815043958
there,1
glyph,0.545649905
avert,0.874929063
brave,0.999974324
axiom,0.83238046
prime,0.999999992
drive,1
feast,0.999232273
itchy,0.571495277
clean,1
happy,1
tepid,0.632885032
undue,0.998598644
study,1
eject,0.641424093
chafe,0.551825062
torso,0.798914909
adore,0.79465272
woken,0.642437998
amber,0.904820513
joust,0.530424468
infer,0.992118308
braid,0.749929598
knock,0.996898811
naive,0.962264451
apply,1
spoke,1
usual,1
rival,0.999933873
probe,0.999694914
chord,0.97651576
taper,0.868964781
slate,0.99201992
third,1
lunar,0.969341864
excel,0.845937566
aorta,0.931241199
poise,0.719853023
extra,1
judge,1
condo,0.625381315
impel,0.600334516
havoc,0.846874031
molar,0.968246006
manly,0.937932685
