,hard%,Date,Contest number,Word,Number of  reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),E,classification
154,7.808436868,2022-6-10,356,piety,55376,4324,0,4,25,41,22,7,1,0.300531027,1
155,7.865968667,2022-6-11,357,goose,51958,4087,0,2,12,28,32,21,5,0.324522491,2
156,7.62649072,2022-6-12,358,float,56684,4323,1,12,30,32,18,6,1,0.239375889,1
157,7.698598565,2022-6-13,359,donor,53802,4142,0,3,27,38,23,7,1,0.323857937,2
158,7.940901814,2022-6-14,360,atone,59968,4762,2,16,34,29,14,4,1,0.501047147,1
159,7.842611942,2022-6-15,361,primo,55989,4391,0,3,22,38,25,10,2,0.30895622,1
160,7.696050908,2022-6-16,362,apron,53430,4112,0,7,30,38,19,5,1,0.474721532,1
161,7.776456599,2022-6-17,363,blown,54665,4251,0,6,23,35,26,10,1,0.215765623,1
162,8.687639021,2022-6-18,364,cacao,47205,4101,0,1,9,27,36,23,4,0.298213211,3
163,7.946314059,2022-6-19,365,loser,55359,4399,1,10,28,32,19,8,2,0.492255945,1
164,7.824261152,2022-6-20,366,input,50484,3950,0,5,30,38,21,6,1,0.354546898,1
165,7.862472348,2022-6-21,367,gloat,53342,4194,0,8,21,31,26,12,2,0.278181267,1
166,8.103683492,2022-6-22,368,awful,47645,3861,0,5,21,33,27,12,2,0.381337454,1
167,7.753572706,2022-6-23,369,brink,53111,4118,0,4,22,41,24,7,1,0.270431307,1
168,7.884702768,2022-6-24,370,smite,50617,3991,0,6,23,35,24,11,2,0.352261982,1
169,7.962854477,2022-6-25,371,beady,46089,3670,0,3,19,39,29,10,1,0.238542885,1
170,7.837462834,2022-6-26,372,rusty,50450,3954,0,9,37,34,13,5,1,0.436217166,1
171,8.019005543,2022-6-27,373,retro,47986,3848,0,6,24,35,24,9,1,0.477580565,2
172,8.124788637,2022-6-28,374,droll,47312,3844,0,2,16,31,31,17,3,0.299817291,2
173,8.669076569,2022-6-29,375,gawky,45645,3957,0,1,5,22,33,28,10,0.231670845,1
174,8.499954763,2022-6-30,376,hutch,44212,3758,0,1,12,28,28,21,9,0.285964193,2
175,8.025736539,2022-7-1,377,pinto,47248,3792,0,5,25,41,22,6,1,0.345453862,1
176,8.416137915,2022-7-2,378,egret,41765,3515,0,3,14,33,33,15,2,0.486028341,2
177,8.548634096,2022-7-3,379,lilac,40486,3461,0,2,17,38,29,12,1,0.430013876,2
178,8.420682378,2022-7-4,380,sever,42645,3591,0,2,13,27,29,21,7,0.4140202,2
179,8.08470546,2022-7-5,381,field,44578,3604,1,6,25,36,23,9,1,0.223138766,1
180,8.552298074,2022-7-6,382,fluff,47344,4049,0,0,4,25,44,23,4,0.182554057,3
181,8.457161287,2022-7-7,383,agape,43407,3671,0,2,18,36,27,15,3,0.447443062,2
182,8.139045928,2022-7-8,384,voice,42806,3484,1,5,24,35,25,9,1,0.18351465,1
183,8.351382342,2022-7-9,385,stead,47094,3933,1,6,20,27,28,16,3,0.403398748,1
184,8.361852339,2022-7-10,386,berth,41785,3494,0,7,24,35,24,9,1,0.283557866,1
185,8.459736096,2022-7-11,387,madam,40545,3430,0,3,13,35,34,14,2,0.30259703,3
186,8.249840119,2022-7-12,388,night,46910,3870,1,8,27,27,17,13,7,0.279009161,1
187,8.059075379,2022-7-13,389,bland,46246,3727,0,7,31,38,18,4,0,0.277014343,1
188,8.355323189,2022-7-14,390,liver,40549,3388,0,4,16,26,25,20,8,0.442982814,1
189,8.546158944,2022-7-15,391,wedge,39234,3353,0,2,11,32,37,17,2,0.248153689,2
190,8.46036782,2022-7-16,392,roomy,38769,3280,0,2,17,41,28,10,2,0.423772372,2
191,8.444623968,2022-7-17,393,wacky,39611,3345,0,3,18,39,27,10,2,0.212419509,1
192,8.333724809,2022-7-18,394,flock,42574,3548,0,4,22,37,27,9,1,0.220675136,1
193,8.46547508,2022-7-19,395,angry,39667,3358,0,5,27,38,21,7,1,0.456296101,1
194,8.724577977,2022-7-20,396,trite,42237,3685,0,4,14,22,22,23,15,0.449600147,2
195,8.614337614,2022-7-21,397,aphid,39086,3367,0,6,24,36,23,9,2,0.416177411,1
196,8.50367758,2022-7-22,398,tryst,43099,3665,0,3,26,41,23,6,1,0.391291733,2
197,8.460931763,2022-7-23,399,midge,36769,3111,0,2,18,39,28,10,2,0.262978502,1
198,8.542435888,2022-7-24,400,power,39813,3401,2,6,19,29,24,15,4,0.356933097,1
199,8.511777302,2022-7-25,401,elope,39228,3339,0,4,22,32,26,13,2,0.505309733,2
200,8.953052003,2022-7-26,402,cinch,39171,3507,0,2,15,24,22,25,13,0.333247515,2
201,8.558253439,2022-7-27,403,motto,38384,3285,0,1,11,36,36,14,1,0.284939699,3
202,8.585485855,2022-7-28,404,stomp,40650,3490,0,7,26,32,21,11,2,0.354824196,1
203,8.502024291,2022-7-29,405,upset,37791,3213,0,5,30,38,20,6,1,0.313595727,1
204,8.48927797,2022-7-30,406,bluff,37353,3171,0,2,14,42,31,10,1,0.179687255,2
205,8.58343949,2022-7-31,407,cramp,39250,3369,1,8,26,33,19,10,2,0.341038584,1
206,9.00932846,2022-8-1,408,quart,36662,3303,0,5,20,33,27,13,2,0.154095223,1
207,9.682316881,2022-8-2,409,coyly,34909,3380,0,0,4,17,28,35,15,0.282462924,2
208,8.668351528,2022-8-3,410,youth,38381,3327,1,5,17,31,29,15,3,0.276838636,1
209,8.9607564,2022-8-4,411,rhyme,37229,3336,0,4,22,39,25,8,1,0.349199408,1
210,9.178045515,2022-8-5,412,buggy,37350,3428,0,1,9,29,34,22,5,0.171661096,2
211,8.740763626,2022-8-6,413,alien,38841,3395,3,17,31,29,15,4,0,0.510732956,1
212,8.806559368,2022-8-7,414,smear,36223,3190,0,2,16,39,29,12,2,0.395303334,1
213,8.97342043,2022-8-8,415,unfit,35516,3187,0,3,24,38,25,9,1,0.27521554,1
214,8.334483615,2022-8-9,416,patty,36223,3019,0,2,16,39,29,12,1,0.305293266,2
215,8.79587826,2022-8-10,417,cling,37654,3312,0,4,20,34,27,13,2,0.353066287,1
216,8.694136886,2022-8-11,418,glean,37301,3243,0,6,23,37,24,8,1,0.344989308,1
217,8.994678051,2022-8-12,419,label,34198,3076,0,4,18,32,29,15,2,0.420766631,2
218,9.028801451,2022-8-13,420,hunky,35276,3185,0,1,11,33,25,22,7,0.288709171,1
219,9.376974599,2022-8-14,421,khaki,31652,2968,0,2,17,33,28,16,4,0.20480466,2
220,8.989145183,2022-8-15,422,poker,35376,3180,0,4,17,30,27,17,5,0.356433934,1
221,8.793619143,2022-8-16,423,gruel,35105,3087,0,3,19,39,29,9,1,0.262805233,1
222,8.859416446,2022-8-17,424,twice,35815,3173,1,6,28,38,21,6,1,0.368699632,1
223,9.078939836,2022-8-18,425,twang,34938,3172,0,3,22,43,25,7,1,0.418166525,1
224,8.794347122,2022-8-19,426,shrug,33965,2987,0,4,23,36,26,10,1,0.300779656,1
225,8.495228134,2022-8-20,427,treat,38245,3249,1,22,32,26,14,5,1,0.469989123,2
226,8.945166634,2022-8-21,428,waste,35617,3186,1,7,19,27,24,17,5,0.310318061,1
227,8.702073116,2022-8-22,429,merit,35888,3123,0,7,33,37,17,5,0,0.382499924,1
228,8.742436436,2022-8-23,430,woven,33549,2933,0,2,13,32,32,17,3,0.221484706,1
229,8.685459941,2022-8-24,431,needy,33700,2927,0,2,21,41,26,9,1,0.40640824,2
230,8.642512998,2022-8-25,432,clown,36737,3175,1,8,29,36,20,6,1,0.297252042,1
231,8.77405231,2022-8-26,433,irony,34716,3046,0,6,29,34,21,8,1,0.398997957,1
232,8.911366474,2022-8-27,434,ruder,31241,2784,0,2,16,33,29,16,4,0.465422635,2
233,9.485668895,2022-8-28,435,gauze,30214,2866,0,2,11,24,31,25,8,0.237378931,1
234,8.961232169,2022-8-29,436,chief,34281,3072,1,6,32,38,18,5,0,0.309331574,1
235,8.939393939,2022-8-30,437,onset,33660,3009,0,4,29,40,21,6,1,0.463570154,1
236,8.957926605,2022-8-31,438,prize,35343,3166,0,5,12,20,32,26,5,0.278618129,1
237,9.177820268,2022-9-1,439,fungi,31903,2928,0,2,18,41,28,9,1,0.215193617,1
238,8.814802374,2022-9-2,440,charm,35724,3149,1,12,32,34,16,5,1,0.370941705,1
239,9.223814562,2022-9-3,441,gully,31191,2877,0,1,9,27,31,25,7,0.257300709,2
240,9.023049535,2022-9-4,442,inter,32018,2889,0,6,25,36,23,8,1,0.4842564,1
241,9.073412153,2022-9-5,443,whoop,32733,2970,0,1,16,47,29,7,1,0.223392652,2
242,9.231991202,2022-9-6,444,taunt,32734,3022,0,4,19,27,21,16,13,0.425966272,2
243,9.270134228,2022-9-7,445,leery,30992,2873,0,3,17,37,28,12,2,0.471829308,2
244,9.389274764,2022-9-8,446,class,31962,3001,0,4,21,32,22,13,7,0.348483724,2
245,9.04202412,2022-9-9,447,theme,32172,2909,0,8,29,40,18,4,0,0.416972191,2
246,9.498238533,2022-9-10,448,lofty,29237,2777,0,4,19,34,27,13,3,0.350859984,1
247,9.592283143,2022-9-11,449,tibia,27887,2675,0,1,14,40,30,12,2,0.362414961,2
248,9.891240951,2022-9-12,450,booze,29147,2883,0,1,7,27,38,23,4,0.216825146,2
249,9.173814286,2022-9-13,451,alpha,29497,2706,0,3,19,40,28,9,1,0.443036482,2
250,9.140688196,2022-9-14,452,thyme,32142,2938,1,5,24,41,23,5,0,0.374056053,1
251,9.030110365,2022-9-15,453,doubt,33344,3011,1,12,32,34,16,4,0,0.238905801,1
252,11.06971508,2022-9-16,454,parer,37309,4130,0,0,4,11,15,22,48,0.461345697,2
253,9.195643067,2022-9-17,455,chute,33418,3073,0,11,37,36,12,3,0,0.336370508,1
254,9.177693191,2022-9-18,456,stick,33102,3038,1,9,36,35,14,4,0,0.361712267,1
255,9.786019971,2022-9-19,457,trice,35050,3430,0,5,24,25,18,17,11,0.417701449,1
256,9.089746459,2022-9-20,458,alike,31277,2843,0,6,20,33,27,12,2,0.481692306,1
257,9.069301976,2022-9-21,459,recap,31976,2900,0,5,30,35,21,8,1,0.446427791,1
258,9.052387172,2022-9-22,460,saint,34455,3119,1,14,35,29,15,5,1,0.387014796,1
259,9.181503697,2022-9-23,461,glory,31509,2893,0,6,30,39,19,5,0,0.288279575,1
260,9.387680386,2022-9-24,462,grate,32777,3077,1,14,29,28,16,8,3,0.339252215,1
261,9.232944747,2022-9-25,463,admit,28994,2677,0,10,25,34,22,8,1,0.41756794,1
262,9.096070144,2022-9-26,464,brisk,31706,2884,0,5,23,38,24,7,1,0.246795887,1
263,9.320639019,2022-9-27,465,soggy,30985,2888,0,2,18,38,28,11,2,0.289716097,2
264,9.590177005,2022-9-28,466,usurp,31355,3007,0,3,21,38,26,9,1,0.285093142,2
265,9.282409686,2022-9-29,467,scald,30477,2829,0,4,23,36,24,11,2,0.353243668,1
266,9.156711399,2022-9-30,468,scorn,31223,2859,0,8,31,35,20,6,1,0.345614354,1
267,9.559605702,2022-10-1,469,leave,28202,2696,0,4,16,34,31,12,1,0.427198582,2
268,9.222946025,2022-10-2,470,twine,30088,2775,0,6,28,40,20,5,1,0.425008722,1
269,9.1953667,2022-10-3,471,sting,32288,2969,1,10,30,33,18,8,2,0.402956866,1
270,9.558318236,2022-10-4,472,bough,32014,3060,0,3,17,35,28,13,3,0.206861241,1
271,9.326006142,2022-10-5,473,marsh,30935,2885,0,9,30,35,19,6,1,0.355082745,1
272,9.184551996,2022-10-6,474,sloth,32522,2987,1,10,38,34,13,3,0,0.346853293,1
273,9.784331289,2022-10-7,475,dandy,29026,2840,0,2,11,23,29,24,11,0.292996168,2
274,9.819736109,2022-10-8,476,vigor,26905,2642,0,2,15,35,31,14,2,0.20961981,1
275,9.391720642,2022-10-9,477,howdy,28408,2668,0,2,13,32,32,17,4,0.280889195,1
276,9.874246596,2022-10-10,478,enjoy,26878,2654,0,3,12,29,33,20,3,0.416672202,1
277,9.63079615,2022-10-11,479,valid,28575,2752,0,4,28,38,21,8,1,0.251216336,1
278,10.10943021,2022-10-12,480,ionic,29151,2947,0,2,13,25,28,21,11,0.365525155,2
279,9.842997389,2022-10-13,481,equal,27197,2677,0,5,23,35,25,11,2,0.434919418,1
280,9.520514772,2022-10-14,482,floor,28906,2752,0,3,23,44,24,6,0,0.27436518,2
281,10.27201263,2022-10-15,483,catch,30403,3123,0,7,18,20,15,16,23,0.326220591,2
282,9.36997275,2022-10-16,484,spade,30459,2854,1,8,29,36,19,6,1,0.362847102,1
283,9.482234801,2022-10-17,485,stein,31269,2965,1,12,34,32,16,5,1,0.413343098,1
284,9.803578918,2022-10-18,486,exist,28612,2805,0,5,24,38,23,8,1,0.464078361,1
285,9.86512252,2022-10-19,487,quirk,28322,2794,0,3,23,39,24,9,2,0.104619318,1
